Current projects as at 31 March 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique HMT Project ID,Project Name,Department,Procuring Authority,Sector,Region,Project Status,Date of OJEU,Date of Prefered Bidder,Date of Financial Close,Date of Construction Completion,First Date of Operations,Operational Period of Contract (years),On/Off Balance Sheet under IFRS,On/Off Balance Sheet under ESA ,On/Off Balance Sheet under UK GAAP,Capital Value (£m),Unitary Charge Payment 1992-93 (£m),Unitary Charge Payment 1993-94 (£m),Unitary Charge Payment 1994-95 (£m),Unitary Charge Payment 1995-96 (£m),Unitary Charge Payment 1996-97 (£m),Unitary Charge Payment 1997-98 (£m),Unitary Charge Payment 1998-99 (£m),Unitary Charge Payment 1999-00 (£m),Unitary Charge Payment 2000-01 (£m),Unitary Charge Payment 2001-02 (£m),Unitary Charge Payment 2002-03 (£m),Unitary Charge Payment 2003-04 (£m),Unitary Charge Payment 2004-05 (£m),Unitary Charge Payment 2005-06 (£m),Unitary Charge Payment 2006-07 (£m),Unitary Charge Payment 2007-08 (£m),Unitary Charge Payment 2008-09 (£m),Unitary Charge Payment 2009-10 (£m),Unitary Charge Payment 2010-11 (£m),Unitary Charge Payment 2011-12 (£m),Unitary Charge Payment 2012-13 (£m),Unitary Charge Payment 2013-14 (£m),Unitary Charge Payment 2014-15 (£m), Unitary Charge Payment 2015-16 (£m),Estimated Unitary Charge Payment 2016-17 (£m),Estimated Unitary Charge Payment 2017-18 (£m),Estimated Unitary Charge Payment 2018-19 (£m),Estimated Unitary Charge Payment 2019-20 (£m),Estimated Unitary Charge Payment 2020-21 (£m),Estimated Unitary Charge Payment 2021-22 (£m),Estimated Unitary Charge Payment 2022-23 (£m),Estimated Unitary Charge Payment 2023-24 (£m),Estimated Unitary Charge Payment 2024-25 (£m),Estimated Unitary Charge Payment 2025-26 (£m),Estimated Unitary Charge Payment 2026-27 (£m),Estimated Unitary Charge Payment 2027-28 (£m),Estimated Unitary Charge Payment 2028-29 (£m),Estimated Unitary Charge Payment 2029-30 (£m),Estimated Unitary Charge Payment 2030-31 (£m),Estimated Unitary Charge Payment 2031-32 (£m),Estimated Unitary Charge Payment 2032-33 (£m),Estimated Unitary Charge Payment 2033-34 (£m),Estimated Unitary Charge Payment 2034-35 (£m),Estimated Unitary Charge Payment 2035-36 (£m),Estimated Unitary Charge Payment 2036-37 (£m),Estimated Unitary Charge Payment 2037-38 (£m),Estimated Unitary Charge Payment 2038-39 (£m),Estimated Unitary Charge Payment 2039-40 (£m),Estimated Unitary Charge Payment 2040-41 (£m),Estimated Unitary Charge Payment 2041-42 (£m),Estimated Unitary Charge Payment 2042-43 (£m),Estimated Unitary Charge Payment 2043-44 (£m),Estimated Unitary Charge Payment 2044-45 (£m),Estimated Unitary Charge Payment 2045-46 (£m),Estimated Unitary Charge Payment 2046-47 (£m),Estimated Unitary Charge Payment 2047-48 (£m),Estimated Unitary Charge Payment 2048-49 (£m),Estimated Unitary Charge Payment 2049-50 (£m),Estimated Unitary Charge Payment 2050-51 (£m),Estimated Unitary Charge Payment 2051-52 (£m),Estimated Unitary Charge Payment 2052-53 (£m),Estimated Unitary Charge Payment 2053-54 (£m),Estimated Unitary Charge Payment 2054-55 (£m),Estimated Unitary Charge Payment 2055-56 (£m),Estimated Unitary Charge Payment 2056-57 (£m),Estimated Unitary Charge Payment 2057-58 (£m),Estimated Unitary Charge Payment 2058-59 (£m),Estimated Unitary Charge Payment 2059-60 (£m),Equity Holder 1: Name,Equity Holder 1: Equity Share (%),Equity Holder 2: Name,Equity Holder 2: Equity Share (%),Equity Holder 3: Name,Equity Holder 3: Equity Share (%),Equity Holder 4: Name,Equity Holder 4: Equity Share (%),Equity Holder 5: Name,Equity Holder 5: Equity Share (%),Equity Holder 6: Name,Equity Holder 6: Equity Share (%) ,SPV Name,SPV Company Number,SPV Address
14,Bristol BSF,Department for Education,Bristol,Schools (BSF),ENGLAND_South West,InOperation,01-11-2004,Data not provided,01-07-2006,25-12-2007,25-12-2008,25,Data not provided,Data not provided,Data not provided,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,10.0,14.3,14.4,14.6,14.8,14.9,15.1,17.2,15.5,15.7,15.9,16.1,16.3,16.5,16.7,16.9,17.1,17.3,17.6,17.8,18.1,18.3,18.6,18.8,19.1,19.4,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Investors in the Community,41.5,Skanska Infrastructure Develoment UK Limited,41.5,Amber Infrastructure,16.0,Bristol City Council,1.0,,,,,BRISTOL PFI LIMITED,5755001,Victoria House
15,Brighton & Hove Group Schools Project,Department for Education,Brighton and Hove,Schools (Non-BSF),ENGLAND_South East,InOperation,14-08-2000,15-08-2000,07-03-2002,Data not provided,Data not provided,24,Data not provided,Data not provided,Data not provided,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,3.6,3.4,3.2,3.2,3.3,3.3,2.8,2.9,3.0,3.0,3.1,3.1,3.1,3.2,3.2,3.2,3.3,3.3,3.4,3.4,3.5,3.5,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Semperian PPP Investment Partners GP,100.0,,,,,,,,,,,Data not provided,Data not provided,Data not provided
16,Bristol Group Schools Project (Phase 1A),Department for Education,Bristol,Schools (Non-BSF),ENGLAND_South West,InOperation,11-09-2002,Data not provided,01-04-2004,25-12-2006,25-12-2006,26,Data not provided,Data not provided,Data not provided,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,9.9,9.7,9.6,9.4,9.3,9.1,9.0,8.9,8.8,9.8,8.6,8.6,8.5,8.5,8.4,8.4,8.4,8.3,8.3,8.3,8.3,8.4,8.4,8.4,8.5,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAM PFI Investments bv,100.0,,,,,,,,,,,Bristol Schools Ltd,SC263396,Kelvin House
17,Bradford BSF - Phase 1,Department for Education,Bradford,Schools (BSF),ENGLAND_Yorkshire and the Humber,InOperation,01-09-2004,01-09-2005,18-12-2006,25-12-2007,01-01-2008,25,Data not provided,Data not provided,Data not provided,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,11.1,11.2,11.3,11.4,11.5,11.7,12.3,12.4,12.5,12.7,12.8,12.9,13.0,13.2,13.3,13.4,13.6,13.7,13.8,14.0,14.1,14.3,14.4,14.6,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amey Ventures,6.0,Costain,44.0,HSBC,34.0,Amber Infrastructure,15.0,Bradford Metropolitan District Council,1.0,,,Integrated Bradford SPV One Limited,597796,The Sherard Building
18,London Borough of Tower Hamlets - Group Schools Project,Department for Education,Tower Hamlets,Schools (Non-BSF),ENGLAND_London,InOperation,25-09-1998,Data not provided,28-06-2002,Data not provided,Data not provided,25,On,Data not provided,Data not provided,91.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,7.2,9.0,9.9,11.7,12.1,12.3,12.4,12.6,12.8,14.7,14.0,14.2,14.6,15.0,15.3,15.7,16.1,16.5,16.9,17.3,17.7,18.2,18.6,19.1,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amber Infrastructure,100.0,,,,,,,,,,,Tower Hamlets Schools Ltd,4404455,"Two London Bridge, London SE1 9RA, United Kingdom"
19,Ellesmere Port & NestOn Schools Project,Department for Education,Cheshire West and Chester,Schools (Non-BSF),ENGLAND_North West,InOperation,01-01-2001,02-01-2001,01-10-2002,Data not provided,Data not provided,30,Data not provided,Data not provided,Data not provided,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.8,2.0,2.0,2.0,2.0,2.1,2.1,2.2,2.2,2.2,2.3,2.3,2.4,2.4,2.4,2.5,2.5,2.6,2.6,2.6,2.7,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eric Wright Group,100.0,,,,,,,,,,,Data not provided,Data not provided,Data not provided
20,City of York Council - Four Schools Project,Department for Education,York,Schools (Non-BSF),ENGLAND_Yorkshire and the Humber,InOperation,01-01-2003,Data not provided,17-01-2005,Data not provided,Data not provided,30,Data not provided,Data not provided,Data not provided,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sewell Group plc,50.0,Barclays Capital,50.0,,,,,,,,,Sewell education (York) Limited,5111510,"Geneva Way, Leads Road, Hull HU7 0DG"
21,Cornwall County Council - Grouped Schools II PFI Project,Department for Education,Cornwall,Schools (Non-BSF),ENGLAND_South West,InOperation,02-09-2002,25-09-2003,31-03-2004,30-08-2007,28-03-2005,25,Data not provided,Data not provided,Data not provided,53.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,4.3,5.9,9.3,8.2,8.3,8.4,8.5,8.3,8.1,8.5,8.5,8.6,8.7,8.9,9.0,9.1,9.2,9.4,9.5,9.7,9.8,9.9,9.6,9.5,9.6,9.8,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aberdeen Asset Management,50.0,Interserve Pension Fund,25.1,Dalmore Capital,25.0,,,,,,,Pyramid Schools (Cornwall) Limited,4988242,Interserve House
23,Caludon Castle School PFI Project,Department for Education,Coventry,Schools (Non-BSF),ENGLAND_West Midlands,InOperation,25-10-2002,17-02-2004,01-12-2004,07-02-2007,21-02-2006,30,ON,Data not provided,OFF,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.8,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,2.9,2.9,2.8,2.8,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.6,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bilfinger Berger BOT Limited,100.0,,,,,,,,,,,Coventry Education Partnership,5188350,1 Grenfell RoadMaidenheadBerkshireSL6 1HN
24,Darlington Five Schools Project,Department for Education,Darlington,Schools (Non-BSF),ENGLAND_North East,InOperation,31-01-2003,Data not provided,30-03-2004,26-03-2006,15-04-2006,26,Data not provided,Data not provided,Data not provided,34.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.7,4.7,4.6,4.7,4.7,4.8,4.8,4.8,4.8,4.7,4.6,4.7,4.7,4.8,4.8,4.9,4.9,4.9,5.0,5.0,5.1,5.1,5.2,5.2,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kajima Partnership Limited,50.0,Infrastructure Investments Holdings Ltd,50.0,,,,,,,,,Kajima Darlington Schools Ltd,4968498,55 Baker Street
25,Derby - Grouped Schools Project,Department for Education,Derby,Schools (Non-BSF),ENGLAND_East Midlands,InOperation,10-04-2003,27-04-2004,01-12-2004,31-08-2006,01-09-2006,27,Data not provided,Data not provided,Data not provided,48.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,3.6,5.4,5.5,5.5,5.4,5.4,5.4,5.3,5.4,5.3,5.2,5.2,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.2,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure Investments Holdings Ltd,100.0,,,,,,,,,,,Derby School Solutions Ltd,5071716,Astral House
